time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
33250,30.00,0.00,9.75,0.83,18.75,0.83,bending2
33500,30.00,0.00,11.75,0.43,18.50,0.50,bending2
33750,30.00,0.00,10.25,0.83,19.00,0.00,bending2
34000,30.00,0.00,10.00,0.82,19.00,0.82,bending2
34250,30.00,0.00,10.67,0.47,18.75,0.83,bending2
34500,30.00,0.00,9.00,0.00,19.50,1.12,bending2
34750,30.25,0.43,9.00,0.00,20.50,0.50,bending2
35000,30.00,0.00,9.25,3.27,18.00,1.63,bending2
35250,30.67,0.47,5.00,2.74,17.33,0.94,bending2
35500,30.00,0.00,4.75,1.30,17.33,0.47,bending2
35750,30.00,0.00,7.67,0.47,16.67,0.94,bending2
36000,30.00,0.00,8.75,0.43,17.00,0.00,bending2
36250,30.67,0.47,6.75,3.56,15.67,0.94,bending2
36500,30.33,0.47,4.00,2.83,14.50,1.50,bending2
36750,30.00,0.00,11.00,1.22,12.50,0.50,bending2
37000,30.00,0.00,12.00,0.00,13.25,1.30,bending2
37250,30.00,0.00,7.67,3.30,16.00,1.87,bending2
37500,30.25,0.43,2.00,1.22,18.25,0.43,bending2
37750,30.00,0.00,3.75,0.43,18.00,0.00,bending2
38000,30.00,0.00,2.50,0.50,18.00,0.00,bending2
38250,30.00,0.00,2.25,1.09,17.67,0.47,bending2
38500,30.00,0.00,1.25,0.43,17.67,0.47,bending2
38750,30.00,0.00,2.33,0.47,17.33,0.47,bending2
39000,30.00,0.00,4.00,0.00,17.67,0.47,bending2
39250,30.00,0.00,3.00,0.00,18.00,0.00,bending2
39500,30.00,0.00,1.80,0.98,18.00,0.00,bending2
39750,30.00,0.00,1.00,0.00,17.50,0.50,bending2
40000,30.00,0.00,2.33,0.47,17.67,0.47,bending2
40250,30.00,0.00,2.50,0.50,17.50,0.50,bending2
40500,30.00,0.00,2.00,0.71,17.50,0.50,bending2
40750,30.00,0.00,2.00,0.82,17.25,0.43,bending2
41000,30.00,0.00,4.00,0.00,16.75,1.30,bending2
41250,30.00,0.00,4.00,0.00,16.75,0.83,bending2
41500,30.00,0.00,3.00,0.00,17.33,0.47,bending2
41750,30.00,0.00,4.50,0.50,16.80,0.75,bending2
42000,30.00,0.00,2.75,0.43,17.25,0.83,bending2
42250,30.00,0.00,1.25,0.43,17.00,1.00,bending2
42500,30.00,0.00,2.00,0.00,16.50,0.50,bending2
42750,30.00,0.00,2.50,0.50,16.00,1.00,bending2
43000,30.00,0.00,2.00,0.00,16.33,0.47,bending2
43250,30.00,0.00,2.67,0.47,16.67,0.94,bending2
43500,30.00,0.00,2.50,0.50,16.00,0.82,bending2
43750,30.00,0.00,3.00,1.22,16.00,0.71,bending2
44000,30.00,0.00,2.00,0.00,16.75,0.83,bending2
44250,30.00,0.00,3.00,1.58,16.75,1.09,bending2
44500,30.00,0.00,4.50,0.87,16.25,0.83,bending2
44750,30.00,0.00,6.00,0.00,16.00,0.82,bending2
45000,30.00,0.00,6.50,0.50,15.67,0.94,bending2
45250,30.00,0.00,7.00,0.00,16.00,1.00,bending2
45500,30.00,0.00,7.33,0.47,15.50,0.50,bending2
45750,30.00,0.00,7.00,0.00,16.00,0.82,bending2
46000,30.00,0.00,7.00,0.00,15.50,0.50,bending2
46250,30.00,0.00,7.60,0.49,14.75,0.43,bending2
46500,30.00,0.00,7.33,0.47,15.67,0.47,bending2
46750,30.00,0.00,7.33,0.47,15.00,0.71,bending2
47000,30.00,0.00,7.33,0.47,15.50,0.50,bending2
47250,30.00,0.00,7.33,0.47,15.50,0.50,bending2
47500,30.00,0.00,6.50,0.50,15.67,0.47,bending2
47750,30.00,0.00,6.33,0.47,15.50,0.50,bending2
48000,30.00,0.00,6.50,0.50,15.50,0.50,bending2
48250,30.00,0.00,6.33,0.47,15.33,0.47,bending2
48500,30.00,0.00,5.50,0.50,16.00,1.00,bending2
48750,30.00,0.00,5.50,0.50,16.33,0.94,bending2
49000,30.00,0.00,6.00,0.00,15.67,0.47,bending2
49250,30.00,0.00,5.33,0.47,15.50,0.50,bending2
49500,30.00,0.00,5.33,0.47,15.50,0.50,bending2
49750,30.00,0.00,5.67,0.94,16.00,1.00,bending2
50000,30.00,0.00,5.50,0.87,16.00,1.00,bending2
50250,30.00,0.00,7.00,0.82,16.50,0.50,bending2
50500,30.00,0.00,7.00,0.00,15.67,0.47,bending2
50750,30.00,0.00,6.50,0.50,16.00,1.00,bending2
51000,30.00,0.00,6.25,0.43,15.75,0.83,bending2
51250,30.00,0.00,3.00,0.00,15.50,1.12,bending2
51500,30.00,0.00,5.67,0.47,16.33,1.25,bending2
51750,30.00,0.00,8.00,0.82,17.33,1.70,bending2
52000,30.00,0.00,6.50,2.06,17.75,0.83,bending2
52250,30.00,0.00,5.50,1.50,18.33,0.47,bending2
52500,30.00,0.00,4.33,1.89,18.25,0.43,bending2
52750,30.50,0.50,4.50,1.50,17.75,0.43,bending2
53000,30.00,0.00,3.50,1.12,19.00,0.82,bending2
53250,29.50,0.50,4.25,1.48,18.00,0.00,bending2
53500,30.00,0.00,5.00,0.00,18.00,0.00,bending2
53750,30.00,0.00,3.25,0.43,18.00,0.00,bending2
54000,30.00,0.00,3.67,0.47,17.50,0.50,bending2
54250,30.00,0.00,4.00,0.00,17.00,0.82,bending2
54500,30.00,0.00,4.50,0.50,17.67,0.47,bending2
54750,30.00,0.00,4.00,0.00,16.50,0.50,bending2
55000,30.00,0.00,6.00,0.00,16.25,0.83,bending2
55250,29.67,0.47,6.00,0.00,16.33,0.94,bending2
55500,29.75,0.43,4.50,1.12,16.75,0.83,bending2
55750,29.75,0.43,2.25,0.43,17.25,0.83,bending2
56000,30.00,0.00,5.00,1.22,16.67,0.47,bending2
56250,29.75,0.43,5.75,0.43,16.00,1.00,bending2
56500,29.75,0.43,5.75,0.43,15.75,0.83,bending2
56750,30.00,0.00,6.00,0.00,16.00,0.71,bending2
57000,29.75,0.43,5.50,0.50,16.00,1.00,bending2
57250,29.50,0.50,5.25,0.43,16.00,1.00,bending2
57500,29.25,0.43,4.25,0.43,16.00,1.00,bending2
57750,29.25,0.43,5.50,0.50,15.50,0.50,bending2
58000,29.50,0.50,6.00,0.71,15.50,0.50,bending2
58250,29.50,0.50,6.33,0.47,15.33,0.47,bending2
58500,29.50,0.50,6.00,0.00,15.50,0.50,bending2
58750,29.67,0.47,6.75,0.43,16.00,0.82,bending2
59000,29.25,0.43,6.50,0.50,16.50,1.12,bending2
59250,29.00,0.00,6.25,0.83,16.50,0.50,bending2
59500,29.00,0.00,6.00,0.00,16.25,0.83,bending2
59750,29.25,0.43,5.50,0.50,16.50,0.50,bending2
60000,29.25,0.43,5.00,0.00,17.00,1.00,bending2
60250,29.50,0.50,5.00,0.71,16.50,0.50,bending2
60500,29.50,0.50,6.00,0.00,16.50,0.50,bending2
60750,29.00,0.00,6.25,0.43,16.00,1.00,bending2
61000,29.25,0.43,6.25,0.43,15.75,0.83,bending2
61250,29.00,0.00,6.00,0.00,15.50,0.50,bending2
61500,29.00,0.00,6.00,0.00,15.75,0.83,bending2
61750,29.00,0.00,6.00,0.00,16.33,1.25,bending2
62000,29.25,0.43,6.00,0.00,16.33,0.47,bending2
62250,29.00,0.00,5.50,0.50,16.50,0.50,bending2
62500,29.00,0.00,5.75,0.43,16.75,0.83,bending2
62750,29.00,0.00,5.25,0.43,17.33,0.94,bending2
63000,29.00,0.00,5.50,0.50,17.33,0.94,bending2
63250,29.00,0.00,6.00,0.00,16.50,1.12,bending2
63500,29.00,0.00,5.00,0.00,16.25,0.83,bending2
63750,29.25,0.43,5.00,0.71,16.50,0.50,bending2
64000,29.00,0.00,5.00,0.71,17.00,0.71,bending2
64250,29.25,0.43,6.00,0.00,16.50,0.50,bending2
64500,29.00,0.00,6.25,0.43,16.25,0.83,bending2
64750,29.00,0.00,6.25,0.43,16.25,0.83,bending2
65000,29.00,0.00,4.75,0.43,16.50,1.12,bending2
65250,28.75,0.43,5.25,0.43,17.00,1.00,bending2
65500,28.67,0.47,4.67,0.47,16.50,0.50,bending2
65750,29.00,0.00,4.75,0.43,17.33,0.94,bending2
66000,29.00,0.00,5.00,0.00,17.50,0.50,bending2
66250,29.00,0.00,5.50,0.50,16.50,0.50,bending2
66500,29.00,0.00,5.00,0.00,16.00,1.00,bending2
66750,29.00,0.00,5.75,0.43,15.67,0.47,bending2
67000,29.00,0.00,6.75,0.43,15.50,0.50,bending2
67250,29.00,0.00,7.00,0.00,15.67,0.94,bending2
67500,28.75,0.43,6.00,0.00,16.50,1.12,bending2
67750,28.75,0.43,4.75,0.43,17.00,1.00,bending2
68000,28.75,0.43,4.25,0.43,17.00,1.00,bending2
68250,29.00,0.00,4.50,0.50,17.00,1.00,bending2
68500,29.00,0.00,5.00,0.00,18.00,0.00,bending2
68750,28.67,0.47,4.00,0.00,16.67,0.94,bending2
69000,28.50,0.50,4.75,0.43,16.25,0.83,bending2
69250,28.75,0.43,5.00,0.00,16.50,0.50,bending2
69500,28.67,0.47,5.00,0.00,17.33,0.94,bending2
69750,28.67,0.47,5.00,0.00,17.00,0.71,bending2
70000,29.00,0.00,5.00,0.00,17.00,1.00,bending2
70250,29.00,0.00,4.25,0.43,17.00,1.00,bending2
70500,29.00,0.00,4.00,0.00,17.00,1.00,bending2
70750,29.00,0.00,5.00,0.00,17.33,0.94,bending2
71000,28.50,0.50,4.75,0.43,17.50,0.50,bending2
71250,29.00,0.00,4.67,0.47,17.50,0.50,bending2
71500,28.60,0.49,4.80,0.75,17.50,0.50,bending2
71750,28.50,0.50,5.00,0.00,17.50,0.50,bending2
72000,28.50,0.50,5.00,0.00,16.75,0.83,bending2
72250,28.75,0.43,8.67,0.47,15.67,1.25,bending2
72500,29.00,0.00,7.00,0.82,18.50,1.12,bending2
72750,30.00,0.00,11.50,1.50,17.50,1.50,bending2
73000,30.00,0.00,12.75,0.43,16.67,0.47,bending2
73250,30.00,0.00,12.00,0.00,17.75,1.09,bending2
73500,30.00,0.00,11.50,0.50,18.75,0.83,bending2
73750,30.00,0.00,11.00,0.00,19.50,1.12,bending2
74000,30.00,0.00,9.75,0.83,19.50,0.50,bending2
74250,30.00,0.00,9.00,0.00,18.33,0.47,bending2
74500,30.00,0.00,9.00,0.00,18.00,0.00,bending2
74750,30.00,0.00,8.50,0.50,18.00,0.00,bending2
75000,30.00,0.00,7.25,0.43,18.00,0.00,bending2
75250,30.00,0.00,7.25,0.43,18.50,0.50,bending2
75500,30.00,0.00,9.50,0.50,18.67,0.47,bending2
75750,30.00,0.00,11.00,0.00,18.50,0.50,bending2
76000,30.00,0.00,11.00,0.00,18.50,0.50,bending2
76250,30.00,0.00,10.75,0.43,18.50,0.50,bending2
76500,30.00,0.00,10.75,0.43,18.50,0.50,bending2
76750,30.00,0.00,10.75,0.43,18.75,0.83,bending2
77000,30.00,0.00,10.75,0.43,18.67,0.47,bending2
77250,30.00,0.00,10.50,0.50,18.67,0.47,bending2
77500,30.00,0.00,10.33,0.47,18.33,0.47,bending2
77750,30.00,0.00,10.00,0.00,18.67,0.47,bending2
78000,30.00,0.00,10.00,0.00,18.33,0.47,bending2
78250,30.00,0.00,9.50,0.50,18.00,0.00,bending2
78500,30.00,0.00,9.00,0.00,18.50,0.50,bending2
78750,30.00,0.00,8.00,0.00,18.50,0.50,bending2
79000,30.00,0.00,8.25,0.43,18.50,0.50,bending2
79250,30.00,0.00,8.00,0.00,18.67,0.47,bending2
79500,30.00,0.00,8.00,0.00,19.00,1.00,bending2
79750,30.00,0.00,8.00,0.00,19.00,1.00,bending2
80000,30.00,0.00,6.50,0.50,19.00,1.00,bending2
80250,30.00,0.00,7.25,0.43,19.67,0.47,bending2
80500,30.00,0.00,7.50,0.50,19.25,1.30,bending2
80750,30.00,0.00,7.33,0.47,20.00,0.82,bending2
81000,30.00,0.00,9.00,0.00,20.33,1.30,bending2
81250,30.00,0.00,7.50,1.66,19.25,0.83,bending2
81500,30.00,0.00,4.75,0.43,19.67,0.47,bending2
81750,29.75,0.43,7.75,1.30,19.00,1.00,bending2
82000,30.00,0.00,9.50,0.50,18.67,0.47,bending2
82250,30.00,0.00,11.60,0.49,18.75,0.83,bending2
82500,30.00,0.00,12.00,0.00,18.67,0.47,bending2
82750,29.75,0.43,12.00,0.00,18.25,0.43,bending2
83000,29.50,0.50,12.00,0.00,18.25,0.43,bending2
83250,29.50,0.50,12.00,0.00,18.25,0.43,bending2
83500,29.75,0.43,12.00,0.00,18.50,0.50,bending2
83750,29.75,0.43,12.00,0.00,18.25,0.43,bending2
84000,29.75,0.43,12.00,0.00,18.00,0.00,bending2
84250,29.50,0.50,12.00,0.00,18.00,0.00,bending2
84500,29.50,0.50,12.00,0.00,18.00,0.00,bending2
84750,29.00,0.00,12.00,0.00,18.00,0.00,bending2
85000,29.33,0.47,12.00,0.00,18.33,0.47,bending2
85250,29.00,0.00,12.00,0.00,18.33,0.47,bending2
85500,29.33,0.47,12.00,0.00,18.67,0.47,bending2
85750,29.33,0.47,12.00,0.00,18.50,0.50,bending2
86000,29.00,0.00,12.00,0.00,18.50,0.50,bending2
86250,29.25,0.43,12.00,0.00,18.50,0.50,bending2
86500,29.33,0.47,12.00,0.00,19.00,0.82,bending2
86750,29.25,0.43,12.00,0.00,18.33,0.47,bending2
87000,29.50,0.50,12.00,0.00,18.00,0.00,bending2
87250,29.00,0.00,12.00,0.00,18.33,0.47,bending2
87500,29.00,0.00,12.00,0.00,18.00,0.00,bending2
87750,30.00,0.00,12.00,0.00,19.00,0.00,bending2
88000,29.00,0.00,12.00,0.00,18.50,0.50,bending2
88250,29.33,0.47,12.00,0.00,18.67,0.47,bending2
88500,29.00,0.00,12.00,0.00,18.50,0.50,bending2
88750,28.33,0.47,12.00,0.00,19.00,0.82,bending2
89000,28.33,0.47,11.00,1.00,18.50,0.50,bending2
89250,28.25,0.43,7.50,0.50,18.25,0.43,bending2
89500,28.25,0.43,4.25,2.28,18.25,0.43,bending2
89750,29.00,0.00,11.00,1.22,17.50,0.50,bending2
90000,29.00,0.00,12.00,0.00,15.75,0.43,bending2
90250,29.67,0.47,12.00,0.00,16.67,1.25,bending2
90500,29.50,0.50,12.00,0.00,16.67,0.94,bending2
90750,29.00,0.00,12.33,0.47,17.50,0.50,bending2
91000,29.00,0.00,12.75,0.43,17.75,0.43,bending2
91250,29.50,0.50,12.75,0.43,18.00,0.00,bending2
91500,29.50,0.50,12.75,0.43,17.00,1.00,bending2
91750,29.00,0.00,12.25,0.43,17.33,0.94,bending2
92000,29.25,0.43,12.00,0.00,17.00,0.71,bending2
92250,29.00,0.00,12.00,0.00,17.00,0.82,bending2
92500,29.25,0.43,12.00,0.00,16.25,0.43,bending2
92750,29.00,0.00,11.67,0.47,16.67,1.25,bending2
93000,28.50,0.50,12.00,0.00,17.67,0.47,bending2
93250,29.00,0.00,12.50,0.50,18.33,0.47,bending2
93500,29.00,0.00,11.33,0.47,18.75,0.83,bending2
93750,29.00,0.00,12.00,0.00,19.33,0.94,bending2
94000,29.33,0.47,12.00,0.00,18.75,0.83,bending2
94250,29.33,0.47,12.00,0.00,19.00,0.82,bending2
94500,29.00,0.00,12.33,0.47,18.67,0.94,bending2
94750,29.00,0.00,12.75,0.43,19.33,0.94,bending2
95000,29.00,0.00,13.50,0.50,19.25,0.83,bending2
95250,29.00,0.00,13.00,0.00,19.25,0.83,bending2
95500,29.00,0.00,13.00,0.00,19.25,0.83,bending2
95750,28.50,0.50,13.50,0.50,19.00,1.00,bending2
96000,29.00,0.00,13.67,0.47,19.33,0.94,bending2
96250,28.67,0.47,12.00,0.71,18.33,0.47,bending2
96500,28.00,0.71,8.75,0.43,18.75,1.48,bending2
96750,28.50,0.50,9.00,0.00,19.25,0.83,bending2
97000,29.00,0.00,9.50,0.50,18.00,0.00,bending2
97250,28.50,0.50,8.50,0.50,18.25,0.43,bending2
97500,29.00,0.00,9.00,0.00,18.33,0.47,bending2
97750,29.00,0.00,9.50,0.50,19.00,0.71,bending2
98000,29.00,0.00,9.75,0.43,19.25,0.83,bending2
98250,28.67,0.47,10.00,0.00,19.67,0.47,bending2
98500,28.50,0.50,10.00,0.00,19.75,0.83,bending2
98750,29.00,0.00,10.00,0.00,20.33,0.94,bending2
99000,28.67,0.47,10.00,0.71,19.67,0.47,bending2
99250,29.00,0.00,10.33,0.47,19.00,1.00,bending2
99500,29.00,0.00,9.67,0.47,19.50,0.50,bending2
99750,29.00,0.00,10.25,0.43,19.00,0.82,bending2
100000,28.75,0.43,9.75,0.43,18.75,0.83,bending2
100250,28.50,0.50,9.75,0.43,19.25,0.83,bending2
100500,27.75,0.43,9.75,0.43,19.25,0.83,bending2
100750,28.00,0.00,10.00,0.00,19.33,0.94,bending2
101000,28.00,0.71,10.25,0.43,19.00,1.00,bending2
101250,28.00,0.00,11.00,0.00,19.25,0.83,bending2
101500,28.00,0.00,11.00,0.00,18.67,0.94,bending2
101750,28.00,0.00,11.00,0.00,19.25,0.83,bending2
102000,28.33,0.47,11.25,0.43,20.33,0.94,bending2
102250,28.00,0.00,12.00,0.00,19.00,0.71,bending2
102500,28.00,0.00,10.00,1.63,18.00,0.71,bending2
102750,28.00,0.00,7.25,1.09,19.50,1.12,bending2
103000,28.00,0.00,8.75,0.43,21.00,0.00,bending2
103250,28.25,0.43,9.25,0.43,20.25,0.83,bending2
103500,28.67,0.47,10.67,0.47,20.25,0.83,bending2
103750,29.00,0.00,12.00,0.00,20.67,0.47,bending2
104000,29.00,0.00,12.00,0.00,20.67,0.47,bending2
104250,28.75,0.43,11.50,0.50,19.75,0.83,bending2
104500,28.50,0.50,11.00,0.00,18.75,0.83,bending2
104750,28.75,0.43,11.25,0.43,18.50,0.50,bending2
105000,28.25,0.43,11.67,0.47,18.67,0.94,bending2
105250,28.50,0.50,12.00,0.00,19.25,0.83,bending2
105500,28.33,0.47,12.00,0.00,20.67,0.47,bending2
105750,28.00,0.00,12.00,0.00,20.25,0.83,bending2
106000,27.50,0.50,12.00,0.00,20.00,0.82,bending2
106250,28.00,0.00,12.00,0.00,21.00,0.00,bending2
106500,28.50,0.50,12.00,0.00,20.00,1.00,bending2
106750,28.00,0.00,12.00,0.00,19.33,0.94,bending2
107000,27.50,0.50,11.75,0.43,19.00,0.71,bending2
107250,28.00,0.00,11.33,0.47,18.75,0.83,bending2
107500,28.00,0.71,10.75,0.43,19.00,1.22,bending2
107750,27.50,0.87,11.25,0.83,20.50,0.87,bending2
108000,29.00,0.71,12.00,0.00,18.25,0.43,bending2
108250,30.00,0.00,12.00,0.00,18.00,0.00,bending2
108500,29.67,0.47,10.00,1.22,17.67,0.47,bending2
108750,29.00,0.00,10.00,0.00,18.33,1.25,bending2
109000,29.00,0.00,9.75,0.83,19.25,0.83,bending2
109250,28.75,0.43,11.00,1.22,20.00,1.00,bending2
109500,28.25,0.43,10.25,1.30,18.25,1.09,bending2
109750,29.00,0.00,12.00,0.00,17.33,0.94,bending2
110000,29.75,0.43,11.00,1.22,17.75,1.09,bending2
110250,30.00,0.00,9.33,0.47,18.75,0.83,bending2
110500,30.00,0.00,6.25,0.43,20.50,0.50,bending2
110750,30.00,0.00,8.25,0.83,19.00,1.00,bending2
111000,30.00,0.00,9.75,1.30,20.25,0.83,bending2
111250,29.75,0.43,9.00,0.00,19.67,0.94,bending2
111500,30.00,0.00,8.75,0.43,20.00,0.71,bending2
111750,29.33,0.47,9.00,1.58,20.00,0.82,bending2
